request_id,client_id,kind,decompose,embed,rerank,agent_turn,annotate,total_cad,n_turns,n_searches,latency_ms
08925adc-5741-432f-919f-3ef2cbd6eb07,run-agent,agent,0.00000000,0.00001122,0.00709980,0.02971491,0.00000000,0.03682593,4,2,18700
6a267268-a468-4055-ba2e-e8b0432629b7,run-agent,agent,0.00000000,0.00000314,0.00354990,0.02313856,0.00000000,0.02669160,3,1,15938
b303ef0a-47ad-4c2c-af17-042620ff8cc6,run-agent,agent,0.00000000,0.00000583,0.00354990,0.02266571,0.00000000,0.02622145,3,1,19117
d8ec7e7f-da75-4e9f-8673-17cba6e37d45,run-agent,agent,0.00000000,0.00000269,0.00354990,0.02127154,0.00000000,0.02482414,4,1,20250
1add27c4-cb7c-49a6-8961-4d749b7d376e,run-agent,agent,0.00000000,0.00000651,0.00354990,0.01406732,0.00000000,0.01762372,3,1,16738
db049dab-8fbc-44e2-9744-5e5583be3b75,run-agent,agent,0.00000000,0.00000045,0.00354990,0.01393890,0.00000000,0.01748925,2,1,13563
4ed654ec-0b7d-4adb-afb2-687316513393,run-agent,agent,0.00000000,0.00000045,0.00354990,0.01379637,0.00000000,0.01734672,3,1,17086
3cce2371-0939-4dc7-b790-0fee331d6f8a,run-agent,agent,0.00000000,0.00000045,0.00354990,0.01312285,0.00000000,0.01667320,3,1,15450
3b6c0599-18e8-4d1c-af4f-1a8d7f495117,run-agent,agent,0.00000000,0.00000045,0.00354990,0.01168000,0.00000000,0.01523035,2,1,14395
435497cd-9ded-4cbc-a993-74e484112819,run-agent,agent,0.00000000,0.00000000,0.00000000,0.01026791,0.00000000,0.01026791,2,0,10132
b01739e8-c372-4760-9402-94921b784999,test,agent,0.00000000,0.00000000,0.00000000,0.00918804,0.00000000,0.00918804,2,0,8834
8f0ab716-c440-4a9a-a08a-a8cf0c537318+b68aad00-7ecc-4d98-8a0c-e8168086ad42,run-search,recherche_directe,0.00164454,0.00000583,0.00709980,0.00000000,0.00000000,0.00875017,0,1,13217
d0aeabee-5ba2-4a8a-bdce-55cf18d88d5d+3d7f8d11-a351-443c-b379-533ed9587307,run-search,recherche_directe,0.00161898,0.00000471,0.00709980,0.00000000,0.00000000,0.00872349,0,1,2379
889a9a5b-b23c-4880-89b6-f28671670610+eaead4d2-acaa-4b06-bdb1-60ba2cc151d1,run-search,recherche_directe,0.00154443,0.00000471,0.00709980,0.00000000,0.00000000,0.00864894,0,1,1878
da10a1fd-cb87-4875-b607-415ff57d2dd1+3b1c5d84-f7b9-4a99-ae7d-ce0703fe04f1,run-search,recherche_directe,0.00151887,0.00000539,0.00709980,0.00000000,0.00000000,0.00862406,0,1,3509
c796ef4e-62cf-46aa-a07d-877f42158a08+a2c24197-e590-4145-bd31-90c0361fdc41,run-search,recherche_directe,0.00148373,0.00000381,0.00709980,0.00000000,0.00000000,0.00858734,0,1,2039
